Date,Holiday,Business_Day,Precio_Oil,Precio_bolsa,Precio_escasez,Demanda_real,Capacidad_embalse,Irradiacion,Temperatura,Month_sin,Month_cos,Day_sin,Day_cos
2022-01-01,1.0,0.0,0.17825715918985963,0.0417132888394048,0.0187487988041255,0.5818612928765882,0.0,0.2797730951379198,0.37780458982504433,0.75,0.9330127018922194,0.6007786086658639,0.9897386467837903
2022-01-02,0.0,0.0,0.17825715918985963,0.04155721634778088,0.0187487988041255,0.6226311298362551,0.0,0.35990333337563096,0.39102233358280386,0.75,0.9330127018922194,0.6974313292519636,0.9593746881414906
2022-01-03,0.0,1.0,0.17825715918985963,0.045039158354440736,0.0187487988041255,0.7357707141608542,0.0,0.2468472393112073,0.34919224867913684,0.75,0.9330127018922194,0.7860011880212918,0.9101512281075304
2022-01-04,0.0,1.0,0.1939602839635779,0.026929421401290343,0.0187487988041255,0.7623904775638907,0.0,1.0,1.0,0.75,0.9330127018922194,0.8628621245493154,0.8440834809192109
2022-01-05,0.0,1.0,0.20880067491510235,0.032071442162068864,0.0187487988041255,0.7685430761787662,0.0,0.3362945794325102,0.37247346213835836,0.75,0.9330127018922194,0.9248674430638009,0.7638762679090525
2022-01-06,0.0,1.0,0.23658325809262215,0.040256938558865085,0.0187487988041255,0.7739488236457208,0.0,0.2683790922686885,0.36122607473790785,0.75,0.9330127018922194,0.9694786385394494,0.6728132818016387
2022-01-07,0.0,1.0,0.2269197966934109,0.04265725567916641,0.0187487988041255,0.7796906111316408,0.0,0.2951978797364124,0.3688025499592224,0.75,0.9330127018922194,0.994869323391895,0.5746226519476535
2022-01-08,0.0,0.0,0.2269197966934109,0.04531225938977308,0.0187487988041255,0.7494505154553659,0.0,0.41202194131787906,0.39573949861220864,0.75,0.9330127018922194,0.9999999999999999,0.47332431427022803
2022-01-09,0.0,0.0,0.2269197966934109,0.04344634595056268,0.0187487988041255,0.6712715963875692,0.0,0.3664418558212498,0.3745160925412451,0.75,0.9330127018922194,0.9846606178605992,0.37306543461592556
2022-01-10,1.0,0.0,0.21535813656867075,0.045033884506192556,0.0187487988041255,0.6782533384867404,0.0,0.24110141305222607,0.35531325664536156,0.75,0.9330127018922194,0.949479173080781,0.27795062329771125
2022-01-11,0.0,1.0,0.26695430604629866,0.06281666851964286,0.0187487988041255,0.7705165447356602,0.0,0.3073218239005463,0.3631727911068509,0.75,0.9330127018922194,0.8958959981434754,0.19187389186646897
2022-01-12,0.0,1.0,0.2914581583970344,0.06146603508200743,0.0187487988041255,0.794417265345813,0.0,0.3789936980548162,0.3912973811801433,0.75,0.9330127018922194,0.8261047945263709,0.11835923182057972
2022-01-13,0.0,1.0,0.2824849630484507,0.05997324831290034,0.0187487988041255,0.821248688663039,0.0,0.29113168689471713,0.37360451427863767,0.75,0.9330127018922194,0.7429628223056706,0.0604163419799284
2022-01-14,0.0,1.0,0.3118205460987922,0.06587267465825526,0.0187487988041255,0.8082353495006933,0.0,0.32385458868106465,0.35619984083912365,0.75,0.9330127018922194,0.6498739235928566,0.02041741106259165
2022-01-15,0.0,0.0,0.3118205460987922,0.06696696177208909,0.0187487988041255,0.7564056737116909,0.0,0.3004993454934033,0.40882149580192745,0.75,0.9330127018922194,0.550649168838713,5.551115123125783e-17
2022-01-16,0.0,0.0,0.3118205460987922,0.06571635050278035,0.0187487988041255,0.6883650543346802,0.0,0.2771380073350884,0.38805966191431446,0.75,0.9330127018922194,0.4493508311612873,0.0
2022-01-17,0.0,1.0,0.3118205460987922,0.06614308850602219,0.0187487988041255,0.801919235017615,0.0,0.26915105106091664,0.36837308076723335,0.75,0.9330127018922194,0.3501260764071432,0.02041741106259165
2022-01-18,0.0,1.0,0.339603129276312,0.07241268048482115,0.0187487988041255,0.8166712094271258,0.0,0.2518842635539923,0.3839777298897186,0.75,0.9330127018922194,0.25703717769432943,0.060416341979928345
2022-01-19,0.0,1.0,0.3660051803525768,0.0704739231866076,0.0187487988041255,0.8225031751729437,0.0,1.0,1.0,0.75,0.9330127018922194,0.17389520547362908,0.11835923182057961
2022-01-20,0.0,1.0,0.364969847104029,0.07986074148223732,0.0187487988041255,0.8329757320348388,0.0,0.332425330484466,0.4270189833620182,0.75,0.9330127018922194,0.10410400185652458,0.19187389186646892
2022-01-21,0.0,1.0,0.33459879915035273,0.08602725250232271,0.0187487988041255,0.8484736796066445,0.0,0.30847343982301834,0.4210582082524999,0.75,0.9330127018922194,0.05052082691921883,0.27795062329771136
2022-01-22,0.0,0.0,0.33459879915035273,0.08874862059438202,0.0187487988041255,0.7928000448843462,0.0,0.2843685943041919,0.39698271375218236,0.75,0.9330127018922194,0.015339382139400726,0.3730654346159251
2022-01-23,0.0,0.0,0.33459879915035273,0.08867955238643177,0.0187487988041255,0.7033717175053609,0.0,0.364295346498965,0.4034653740463959,0.75,0.9330127018922194,0.0,0.4733243142702276
2022-01-24,0.0,1.0,0.30301981852177473,0.10056565201191128,0.0187487988041255,0.8184359151789682,0.0,0.3525482009806622,0.42083354373299126,0.75,0.9330127018922194,0.005130676608104845,0.5746226519476535
2022-01-25,0.0,1.0,0.3425366612503886,0.14372822443865307,0.0187487988041255,0.8280781965597084,0.0,0.27274411161441436,0.3690806442376399,0.75,0.9330127018922194,0.03052136146055051,0.6728132818016387
2022-01-26,0.0,1.0,0.3727351097777114,0.12553452535328327,0.0187487988041255,0.8285885615612694,0.0,0.27048721217001737,0.3600911155112458,0.75,0.9330127018922194,0.07513255693619891,0.7638762679090525
